Br_dr,g_star_hidden,Treh_GeV,Delta_Neff,BBN_OK,CMB_OK,Target,Allowed
1.450829e-04,4.934460e+00,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,5.234982e+00,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,5.553806e+00,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,5.892048e+00,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,6.250890e+00,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,6.631585e+00,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,7.035467e+00,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,7.463945e+00,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,7.918520e+00,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,8.400779e+00,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,8.912409e+00,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,9.455198e+00,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.003104e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.064196e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.129009e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.197768e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.270716e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.348106e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.430209e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.517312e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.609721e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.707757e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.811764e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.922105e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,2.039166e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,2.163357e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,2.295111e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,2.434890e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,2.583181e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,2.740504e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,2.907408e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,3.084477e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,3.272329e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,3.471623e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,3.683054e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,3.907362e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,4.145331e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,4.397793e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,4.665630e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,4.949779e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,5.251234e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,5.571048e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,5.910340e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,6.270295e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,6.652173e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,7.057308e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,7.487117e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,7.943103e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,8.426859e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,8.940077e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,9.484551e+01,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.006219e+02,1.000000e+06,1.597742e-03,True,True,False,False
1.450829e-04,1.067500e+02,1.000000e+06,1.597742e-03,True,True,False,False
1.592283e-04,1.000000e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.060903e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.125514e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.194061e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.266783e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.343933e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.425782e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.512616e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.604739e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.702472e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.806157e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.916156e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.032856e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.156662e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.288008e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.427354e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.575186e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.732022e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.898410e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,3.074931e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,3.262202e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,3.460879e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,3.671656e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,3.895269e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,4.132502e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,4.384182e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,4.651190e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,4.934460e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,5.234982e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,5.553806e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,5.892048e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,6.250890e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,6.631585e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,7.035467e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,7.463945e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,7.918520e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,8.400779e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,8.912409e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,9.455198e+00,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.003104e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.064196e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.129009e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.197768e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.270716e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.348106e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.430209e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.517312e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.609721e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.707757e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.811764e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.922105e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.039166e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.163357e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.295111e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.434890e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.583181e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.740504e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,2.907408e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,3.084477e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,3.272329e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,3.471623e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,3.683054e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,3.907362e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,4.145331e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,4.397793e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,4.665630e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,4.949779e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,5.251234e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,5.571048e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,5.910340e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,6.270295e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,6.652173e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,7.057308e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,7.487117e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,7.943103e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,8.426859e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,8.940077e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,9.484551e+01,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.006219e+02,1.000000e+06,1.753545e-03,True,True,False,False
1.592283e-04,1.067500e+02,1.000000e+06,1.753545e-03,True,True,False,False
1.747528e-04,1.000000e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.060903e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.125514e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.194061e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.266783e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.343933e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.425782e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.512616e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.604739e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.702472e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.806157e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.916156e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.032856e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.156662e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.288008e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.427354e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.575186e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.732022e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.898410e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,3.074931e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,3.262202e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,3.460879e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,3.671656e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,3.895269e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,4.132502e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,4.384182e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,4.651190e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,4.934460e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,5.234982e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,5.553806e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,5.892048e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,6.250890e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,6.631585e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,7.035467e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,7.463945e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,7.918520e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,8.400779e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,8.912409e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,9.455198e+00,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.003104e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.064196e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.129009e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.197768e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.270716e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.348106e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.430209e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.517312e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.609721e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.707757e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.811764e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.922105e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.039166e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.163357e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.295111e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.434890e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.583181e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.740504e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,2.907408e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,3.084477e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,3.272329e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,3.471623e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,3.683054e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,3.907362e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,4.145331e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,4.397793e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,4.665630e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,4.949779e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,5.251234e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,5.571048e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,5.910340e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,6.270295e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,6.652173e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,7.057308e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,7.487117e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,7.943103e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,8.426859e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,8.940077e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,9.484551e+01,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.006219e+02,1.000000e+06,1.924543e-03,True,True,False,False
1.747528e-04,1.067500e+02,1.000000e+06,1.924543e-03,True,True,False,False
1.917910e-04,1.000000e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.060903e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.125514e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.194061e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.266783e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.343933e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.425782e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.512616e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.604739e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.702472e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.806157e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.916156e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,2.032856e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,2.156662e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,2.288008e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,2.427354e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,2.575186e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,2.732022e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,2.898410e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,3.074931e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,3.262202e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,3.460879e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,3.671656e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,3.895269e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,4.132502e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,4.384182e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,4.651190e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,4.934460e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,5.234982e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,5.553806e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,5.892048e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,6.250890e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,6.631585e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,7.035467e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,7.463945e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,7.918520e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,8.400779e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,8.912409e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,9.455198e+00,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.003104e+01,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.064196e+01,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.129009e+01,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.197768e+01,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.270716e+01,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.348106e+01,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.430209e+01,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.517312e+01,1.000000e+06,2.112220e-03,True,True,False,False
1.917910e-04,1.609721e+01,1.000000e+06,2.112220e-03,True,True,False,False
